
seq2seq(
  (encoder): rnn_encoder(
    (embedding): Embedding(18322, 512)
    (rnn): GRU(512, 512, bidirectional=True)
  )
  (decoder): rnn_decoder(
    (embedding): Embedding(18322, 512)
    (rnn): StackedGRU(
      (dropout): Dropout(p=0.0, inplace=False)
      (layers): ModuleList(
        (0): GRUCell(512, 512)
      )
    )
    (linear): Linear(in_features=512, out_features=18322, bias=True)
    (linear_): Linear(in_features=512, out_features=512, bias=True)
    (sigmoid): Sigmoid()
    (attention): luong_attention(
      (linear_in): Linear(in_features=512, out_features=512, bias=True)
      (linear_out): Sequential(
        (0): Linear(in_features=1536, out_features=512, bias=True)
        (1): Tanh()
      )
      (softmax): Softmax(dim=1)
    )
    (dropout): Dropout(p=0.0, inplace=False)
  )
  (log_softmax): LogSoftmax()
  (criterion): CrossEntropyLoss()
)

total number of parameters: 24820114

epoch:   1, loss: 3269.000, time: 94.621, updates:      674, accuracy: 24.91
BLEU = 5.94, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34171, ref_len=41185)
epoch:  21, loss: 891.076, time: 98.186, updates:    14154, accuracy: 73.04
BLEU = 5.93, 27.1/7.7/4.5/3.0 (BP=0.815, ratio=0.830, hyp_len=34186, ref_len=41185)
epoch:  22, loss: 890.215, time: 93.554, updates:    14828, accuracy: 73.06
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.829, hyp_len=34160, ref_len=41185)
epoch:  23, loss: 889.096, time: 98.061, updates:    15502, accuracy: 73.10
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34170, ref_len=41185)
epoch:  24, loss: 889.842, time: 101.354, updates:    16176, accuracy: 73.08
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.829, hyp_len=34159, ref_len=41185)
epoch:  25, loss: 889.253, time: 97.999, updates:    16850, accuracy: 73.08
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34166, ref_len=41185)
epoch:  26, loss: 890.550, time: 98.213, updates:    17524, accuracy: 73.04
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34166, ref_len=41185)
epoch:  27, loss: 889.568, time: 96.543, updates:    18198, accuracy: 73.08
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34166, ref_len=41185)
epoch:  28, loss: 889.251, time: 100.096, updates:    18872, accuracy: 73.08
BLEU = 5.92, 27.1/7.7/4.5/3.0 (BP=0.814, ratio=0.830, hyp_len=34166, ref_len=41185)
